SNO,Protein A,Protein B,UniProtID A,UniProtID B,PDB ID A,PDB ID B
1,PSMC2,HSPA4,P35998,O88600,"5GJQ, 5GJR, 5L4G, 5LN3, 5M32, 5T0C, 5T0G, 5T0H, 5T0I, 5T0J, 5VFP, 5VFQ, 5VFR, 5VFS, 5VFT, 5VFU, 5VGZ, 5VHF, 5VHH, 5VHI, 5VHJ, 5VHM, 5VHN, 5VHO, 5VHP, 5VHQ, 5VHR, 5VHS, 6MSB, 6MSD, 6MSE, 6MSG, 6MSH, 6MSJ, 6MSK, 6WJD, 6WJN, 7QXN, 7QXP, 7QXU, 7QXW, 7QXX, 7QY7, 7QYA, 7QYB, 7W37, 7W38, 7W39, 7W3A, 7W3B, 7W3C, 7W3F, 7W3G, 7W3H, 7W3I, 7W3J, 7W3K, 7W3M, 8CVT, 8JRI, 8JRT, 8JTI, 8K0G, 8USB, 8USC, 8USD, 9E8G, 9E8H, 9E8I, 9E8J, 9E8K, 9E8L, 9E8N, 9E8O, 9E8Q",No 3D Structure
2,SLC25A4,UQCRC1,P12235,P31930,No 3D Structure,"5XTE, 5XTH, 5XTI"
3,CCNF,SQSTM1,Q8K4F8,Q64337,No 3D Structure,"2RRU, 2ZJD, 3ADE, 3B0F, 3WDZ"
4,TAF15,SRSF7,Q9AST1,Q8BL97,No 3D Structure,No 3D Structure
5,PSMD4,HSPA4,O35226,O88600,No 3D Structure,No 3D Structure
6,DDX5,ELAVL1,Q5R4I9,Q15717,No 3D Structure,"3HI9, 4ED5, 4EGL, 4FXV, 5SZW, 6G2K, 6GC5, 6GD1, 6GD2, 6GD3"
7,TRAF6,TNFRSF1B,B6CJY4,P25119,No 3D Structure,No 3D Structure
8,RAB8A,SNCA,Q5R4A3,Q3T0G8,No 3D Structure,No 3D Structure
9,CIAO1,IREB2,O76071,Q811J3,3FM0,No 3D Structure
10,MUL1,VPS35,Q9VZJ9,Q2HJG5,No 3D Structure,No 3D Structure
11,EWSR1,ILF3,Q61545,Q9Z1X4,No 3D Structure,"4AT7, 4AT8, 4AT9, 4ATB, 5DV7"
12,U2AF2,DHX9,P26368,Q5R874,"1JMT, 1O0P, 1OPI, 1U2F, 2G4B, 2HZC, 2M0G, 2U2F, 2YH0, 2YH1, 3VAF, 3VAG, 3VAH, 3VAI, 3VAJ, 3VAK, 3VAL, 3VAM, 4FXW, 4TU7, 4TU8, 4TU9, 5EV1, 5EV2, 5EV3, 5EV4, 5W0G, 5W0H, 6TR0, 6XLV, 6XLW, 6XLX, 7S3A, 7S3B, 7S3C, 7SN6, 8P25, 9C7A, 9C7B, 9DWU",No 3D Structure
13,TBK1,ATG9A,Q9WUN2,Q3T904,"4JL9, 4JLC, 6O8C",No 3D Structure
14,ARAF,HSP90AA1,P10398,A5A6K9,"1WXM, 2MSE, 9AXM",No 3D Structure
15,PMPCB,MDH2,O75439,P40926,No 3D Structure,"2DFD, 4WLE, 4WLF, 4WLN, 4WLO, 4WLU, 4WLV"
16,CAPRIN1,DHX9,Q14444,Q5R874,"4WBE, 4WBP, 6TA7, 7XHG, 8TH7",No 3D Structure
17,DHX9,RBM14,Q5R874,Q8C2Q3,No 3D Structure,No 3D Structure
18,SFPQ,HNRNPA3,Q8VIJ6,P51991,No 3D Structure,No 3D Structure
19,DDX5,SFPQ,Q5R4I9,Q8VIJ6,No 3D Structure,No 3D Structure
20,PSMA5,VCP,P28066,P42660,"4R3O, 4R67, 5A0Q, 5GJQ, 5GJR, 5L4G, 5LE5, 5LEX, 5LEY, 5LEZ, 5LF0, 5LF1, 5LF3, 5LF4, 5LF6, 5LF7, 5LN3, 5M32, 5T0C, 5T0G, 5T0H, 5T0I, 5T0J, 5VFO, 5VFP, 5VFQ, 5VFR, 5VFS, 5VFT, 5VFU, 6AVO, 6E5B, 6KWY, 6MSB, 6MSD, 6MSE, 6MSG, 6MSH, 6MSJ, 6MSK, 6R70, 6REY, 6RGQ, 6WJD, 6WJN, 6XMJ, 7AWE, 7B12, 7LXV, 7NAN, 7NAO, 7NAP, 7NAQ, 7NHT, 7PG9, 7QXN, 7QXP, 7QXU, 7QXW, 7QXX, 7QY7, 7QYA, 7QYB, 7V5G, 7V5M, 7W37, 7W38, 7W39, 7W3A, 7W3B, 7W3C, 7W3F, 7W3G, 7W3H, 7W3I, 7W3J, 7W3K, 7W3M, 8BZL, 8CVR, 8CVS, 8CVT, 8CXB, 8JRI, 8JRT, 8JTI, 8K0G, 8QYJ, 8QYL, 8QYM, 8QYN, 8QYO, 8QYS, 8QZ9, 8TM3, 8TM4, 8TM5, 8TM6, 8UD9, 8USB, 8USC, 8YIX, 8YIY, 8YIZ, 9E8G, 9E8H, 9E8I, 9E8J, 9E8K, 9E8L, 9E8N, 9E8O, 9E8Q",No 3D Structure
21,CELF1,MATR3,Q4QQT3,P43243,No 3D Structure,No 3D Structure
22,GOT2,ENO1,P00505,Q9C9C4,"5AX8, 8SKR",No 3D Structure
23,TOMM40,CHCHD2,O96008,Q9Y6H1,"7CK6, 7CP9, 7VBY, 7VC4, 7VD2, 7VDD, 8XVA",No 3D Structure
