Protein A,Protein B,UniProtID A,UniProtID B,PDBID A,PDBID B
PSMC2,HSPA4,P35998,O88600,"5GJQ, 5GJR, 5L4G, 5LN3, 5M32, 5T0C, 5T0G, 5T0H, 5T0I, 5T0J, 5VFP, 5VFQ, 5VFR, 5VFS, 5VFT, 5VFU, 5VGZ, 5VHF, 5VHH, 5VHI, 5VHJ, 5VHM, 5VHN, 5VHO, 5VHP, 5VHQ, 5VHR, 5VHS, 6MSB, 6MSD, 6MSE, 6MSG, 6MSH, 6MSJ, 6MSK, 6WJD, 6WJN, 7QXN, 7QXP, 7QXU, 7QXW, 7QXX, 7QY7, 7QYA, 7QYB, 7W37, 7W38, 7W39, 7W3A, 7W3B, 7W3C, 7W3F, 7W3G, 7W3H, 7W3I, 7W3J, 7W3K, 7W3M, 8CVT, 8JRI, 8JRT, 8JTI, 8K0G, 8USB, 8USC, 8USD, 9E8G, 9E8H, 9E8I, 9E8J, 9E8K, 9E8L, 9E8N, 9E8O, 9E8Q",No 3D Structure
SNRPC,SRSF1,P09234,Q6PDM2,"2VRD, 3CW1, 4PJO, 6ELD, 6QX9, 7VPX",1X4C
CD38,CD3E,P28907,P07766,"1YH3, 1ZVM, 2EF1, 2HCT, 2I65, 2I66, 2I67, 2O3Q, 2O3R, 2O3S, 2O3T, 2O3U, 2PGJ, 2PGL, 3DZF, 3DZG, 3DZH, 3DZI, 3DZJ, 3DZK, 3F6Y, 3I9M, 3I9N, 3OFS, 3RAJ, 3ROK, 3ROM, 3ROP, 3ROQ, 3U4H, 3U4I, 4CMH, 4F45, 4F46, 4OGW, 4TMF, 4XJS, 4XJT, 5F1K, 5F1O, 5F21, 6EDR, 6VUA, 7DHA, 7DUO, 7VKE, 8BYU, 8D0M, 8IL3, 8P8C, 8VAU, 9GOX, 9GOY","1A81, 1SY6, 1XIW, 2ROL, 5QU2, 6JXR, 7FJD, 7FJE, 7FJF, 7PHR, 8ES7, 8ES8, 8ES9, 8F0L, 8JC0, 8JCB, 8TW4, 8TW6, 8VY4, 8WXE, 8WY0, 8WYI, 8YC0, 9BBC, 9C3E, 9CI8, 9CIA, 9CQ4"
HSP90AB1,YWHAG,P08238,P61982,"1QZ2, 1UYM, 2L6J, 3FWV, 3NMQ, 3PRY, 3UQ3, 5FWK, 5FWL, 5FWM, 5FWP, 5UC4, 5UCH, 5UCI, 5UCJ, 6N8W, 6N8Y, 7ULJ, 7Z37, 7Z38, 7ZR0, 7ZR5, 7ZR6, 7ZUB, 8EOA, 8EOB, 8GAE, 8GFT, 8QMO",8XI3
SLC25A4,UQCRC1,P12235,P31930,No 3D Structure,"5XTE, 5XTH, 5XTI"
CCNF,SQSTM1,Q8K4F8,Q64337,No 3D Structure,"2RRU, 2ZJD, 3ADE, 3B0F, 3WDZ"
TAF15,SRSF7,Q9AST1,Q8BL97,No 3D Structure,No 3D Structure
EIF4G1,GIGYF2,Q04637,Q6Y7W6,"1LJ2, 1UG3, 2W97, 4AZA, 4F02, 5EHC, 5EI3, 5EIR, 5T46, 5ZK5, 6ZMW, 8HUJ, 8J7R, 8OZ0","5NVL, 5NVM, 7RUP"
TNFRSF1A,JAK2,Q15628,O60674,"1F2H, 1F3V, 5XME, 6AC0, 7CSQ","2B7A, 2W1I, 2XA4, 3E62, 3E63, 3E64, 3FUP, 3IO7, 3IOK, 3JY9, 3KCK, 3KRR, 3LPB, 3Q32, 3RVG, 3TJC, 3TJD, 3UGC, 3ZMM, 4AQC, 4BBE, 4BBF, 4C61, 4C62, 4D0W, 4D0X, 4D1S, 4E4M, 4E6D, 4E6Q, 4F08, 4F09, 4FVP, 4FVQ, 4FVR, 4GFM, 4GMY, 4HGE, 4IVA, 4JI9, 4JIA, 4P7E, 4YTC, 4YTF, 4YTH, 4YTI, 4Z32, 4ZIM, 5AEP, 5CF4, 5CF5, 5CF6, 5CF8, 5HEZ, 5I4N, 5L3A, 5TQ3, 5TQ4, 5TQ5, 5TQ6, 5TQ7, 5TQ8, 5USY, 5USZ, 5UT0, 5UT1, 5UT2, 5UT3, 5UT4, 5UT5, 5UT6, 5WEV, 5WIJ, 5WIK, 5WIL, 5WIM, 5WIN, 6AAJ, 6BBV, 6BRW, 6BS0, 6BSS, 6D2I, 6DRW, 6E2P, 6E2Q, 6G3C, 6M9H, 6OAV, 6OBB, 6OBF, 6OBL, 6OCC, 6TPD, 6VGL, 6VN8, 6VNB, 6VNC, 6VNE, 6VNF, 6VNG, 6VNH, 6VNI, 6VNJ, 6VNK, 6VNL, 6VNM, 6VS3, 6VSN, 6WTN, 6WTO, 6WTP, 6WTQ, 6X8E, 6XJK, 7F7W, 7JYO, 7JYQ, 7LL4, 7LL5, 7Q7I, 7Q7K, 7Q7L, 7Q7W, 7REE, 7RN6, 7SZW, 7T0P, 7T1T, 7TEU, 7UYW, 8B8N, 8B8U, 8B99, 8B9E, 8B9H, 8BA2, 8BA3, 8BA4, 8BAB, 8BAK, 8BM2, 8BPV, 8BPW, 8BX6, 8BX9, 8BXC, 8BXH, 8C08, 8C09, 8C0A, 8CZ9, 8EX0, 8EX1, 8EX2, 8EXK, 8EYA, 8EYB, 8F88, 8G6Z, 8G8O, 8G8X"
OPTN,TNFRSF1A,Q8K3K8,Q15628,5WQ4,"1F2H, 1F3V, 5XME, 6AC0, 7CSQ"
