SNO,Protein A,Protein B,Co-Expression,Experimentally Determined Interaction,Automated Textmining,Combined Score,Disease Associated,BioGRID Interaction ID,Entrez Gene Interactor A,Entrez Gene Interactor B,BioGRID ID Interactor A,BioGRID ID Interactor B,Experimental System,Pubmed ID,Author
1,PSMC2,HSPA4,0.204,0.331,0.482,0.7,Multiple Sclerosis,608933,5701,3308,111674,109540,Affinity Capture-Western,21767633,Grune T (2011)
2,SNRPC,SRSF1,0.193,0.427,0.403,0.7,Multiple Sclerosis,3168683,6631,6426,112515,112324,Affinity Capture-MS,33961781,Huttlin EL (2021)
3,CD38,CD3E,0.161,0.292,0.536,0.7,Amyotrophic Lateral Sclerosis (ALS),677040,952,916,107390,107354,Affinity Capture-Western,14523017,Munoz P (2003)
4,HSP90AB1,YWHAG,0.138,0.177,0.61,0.7,Parkinson's,3435932,3326,7532,109558,113364,Co-fractionation,35831314,Havugimana PC (2022)
5,SLC25A4,UQCRC1,0.352,0.336,0.36,0.701,Friedreich ataxia,746403,291,7384,106788,113230,Co-fractionation,22939629,Havugimana PC (2012)
6,CCNF,SQSTM1,0,0.51,0.416,0.701,Multiple Sclerosis,2768688,899,8878,107339,114397,Affinity Capture-Western,31577344,Yu Y (2019)
7,TAF15,SRSF7,0.637,0.207,0.05,0.702,Multiple Sclerosis,2644412,8148,6432,113807,112330,Affinity Capture-MS,29884807,Chi B (2018)
8,EIF4G1,GIGYF2,0.27,0,0.609,0.702,Parkinson's,3448686,1981,26058,108296,117520,Co-fractionation,35831314,Havugimana PC (2022)
9,TNFRSF1A,JAK2,0.068,0.513,0.397,0.702,Amyotrophic Lateral Sclerosis (ALS),280038,7132,3717,112986,109920,Reconstituted Complex,9510175,Guo D (1998)
10,OPTN,TNFRSF1A,0,0.294,0.223,0.702,Multiple Sclerosis,835936,10133,7132,115436,112986,Affinity Capture-Western,22675546,Klingseisen L (2012)
11,PSMD4,HSPA4,0.393,0.356,0.301,0.703,Multiple Sclerosis,683139,5710,3308,111683,109540,Affinity Capture-MS,19349277,Andersen KM (2009)
12,DDX5,ELAVL1,0.11,0.536,0.339,0.703,Multiple Sclerosis,3354010,1655,1994,108021,108309,Affinity Capture-MS,35271311,Cho NH (2022)
13,TRAF6,TNFRSF1B,0.086,0.292,0.579,0.703,Amyotrophic Lateral Sclerosis (ALS),697096,7189,7133,113041,112987,Affinity Capture-Western,9915784,Khursigara G (1999)
